Time,Price,Volume
2016-02-29 09:30:00.516,108.2473,2956
2016-02-29 09:30:04.584,107.8182,1882
2016-02-29 09:30:12.435,107.8035,2917
2016-02-29 09:30:18.222,107.5353,4790
2016-02-29 09:30:24.360,107.9474,3416
2016-02-29 09:30:26.658,107.3659,1922
2016-02-29 09:30:36.158,107.5632,1262
2016-02-29 09:30:44.641,107.3299,3313
2016-02-29 09:30:45.454,106.7701,2462
2016-02-29 09:30:46.964,107.7919,4503
2016-02-29 09:30:54.008,108.4028,3724
2016-02-29 09:30:58.108,108.205,4012
2016-02-29 09:31:02.607,108.67,3998
2016-02-29 09:31:04.554,108.9315,3149
2016-02-29 09:31:13.882,107.9675,3192
2016-02-29 09:31:16.443,107.0762,1530
2016-02-29 09:31:17.469,107.5642,1505
2016-02-29 09:31:19.097,108.2477,4141
2016-02-29 09:31:26.618,107.2447,1416
2016-02-29 09:31:33.050,107.6284,564
2016-02-29 09:31:37.175,107.3846,4336
2016-02-29 09:31:44.443,108.1052,4488
2016-02-29 09:31:50.872,108.9767,2770
2016-02-29 09:31:58.623,107.9403,4585
2016-02-29 09:32:00.315,108.4289,1728
2016-02-29 09:32:09.532,107.975,2318
2016-02-29 09:32:10.268,107.6318,1230
2016-02-29 09:32:18.887,106.6882,2498
2016-02-29 09:32:21.746,107.5701,627
2016-02-29 09:32:23.233,108.0269,2793
2016-02-29 09:32:27.073,107.0633,1518
2016-02-29 09:32:32.572,107.1951,663
2016-02-29 09:32:33.277,107.7908,1286
2016-02-29 09:32:38.123,107.8665,468
2016-02-29 09:32:42.697,107.012,682
2016-02-29 09:32:43.743,106.9824,3530
2016-02-29 09:32:48.603,106.8208,2330
2016-02-29 09:32:57.630,105.7587,75
2016-02-29 09:33:06.528,106.3245,942
2016-02-29 09:33:15.380,105.4268,1037
2016-02-29 09:33:19.615,104.7884,3402
2016-02-29 09:33:27.694,104.8973,2039
2016-02-29 09:33:33.035,104.4836,4369
2016-02-29 09:33:37.484,104.9575,4017
2016-02-29 09:33:47.481,104.4057,1800
2016-02-29 09:33:53.153,103.3949,275
2016-02-29 09:33:56.727,102.4405,4060
2016-02-29 09:34:05.701,101.8335,3264
2016-02-29 09:34:13.459,101.2913,3562
2016-02-29 09:34:20.586,100.8257,3123
2016-02-29 09:34:26.944,99.98334,890
2016-02-29 09:34:32.077,100.2663,1588
2016-02-29 09:34:41.161,99.88076,3752
2016-02-29 09:34:44.814,100.1465,4026
2016-02-29 09:34:50.568,99.88537,2092
2016-02-29 09:34:51.744,100.3348,2898
2016-02-29 09:34:59.857,100.4942,1666
2016-02-29 09:35:08.888,100.6931,2234
2016-02-29 09:35:09.377,101.3367,4789
2016-02-29 09:35:10.376,100.3941,2976
2016-02-29 09:35:10.706,100.7795,4177
2016-02-29 09:35:20.178,101.6778,1981
2016-02-29 09:35:25.306,101.2944,3612
2016-02-29 09:35:33.439,102.0719,670
2016-02-29 09:35:35.879,102.8149,2080
2016-02-29 09:35:44.320,101.9463,844
2016-02-29 09:35:50.696,102.0272,3289
2016-02-29 09:35:57.860,102.7873,4614
2016-02-29 09:36:04.429,102.5231,3263
2016-02-29 09:36:06.175,103.4563,1706
2016-02-29 09:36:12.334,103.1698,1599
2016-02-29 09:36:21.425,103.1322,64
2016-02-29 09:36:23.492,102.7896,4395
2016-02-29 09:36:27.639,102.4637,340
2016-02-29 09:36:37.157,103.1111,1512
2016-02-29 09:36:43.249,102.945,1865
2016-02-29 09:36:45.113,102.0503,200
2016-02-29 09:36:51.088,101.4749,2496
2016-02-29 09:36:56.165,102.2383,1761
2016-02-29 09:37:03.741,101.5863,3018
2016-02-29 09:37:06.072,100.7203,876
2016-02-29 09:37:09.260,101.5968,483
2016-02-29 09:37:16.354,102.0219,3815
2016-02-29 09:37:16.377,101.8794,1948
2016-02-29 09:37:25.042,100.9929,2878
2016-02-29 09:37:26.211,100.5021,384
2016-02-29 09:37:29.741,101.1655,2059
2016-02-29 09:37:37.896,101.0683,1182
2016-02-29 09:37:44.541,100.8023,2204
2016-02-29 09:37:50.472,101.5298,4279
2016-02-29 09:37:55.751,100.5483,452
2016-02-29 09:37:56.800,100.9663,3133
2016-02-29 09:38:02.101,99.96557,2630
2016-02-29 09:38:05.112,99.58273,3836
2016-02-29 09:38:09.523,99.76942,211
2016-02-29 09:38:10.408,99.02056,2336
