Time,Price,Volume
2016-02-29 09:30:00.977,136.9434,2694
2016-02-29 09:30:01.676,136.3312,949
2016-02-29 09:30:04.321,136.4354,4549
2016-02-29 09:30:13.601,137.4697,3777
2016-02-29 09:30:19.019,138.3301,3943
2016-02-29 09:30:27.766,137.7579,4635
2016-02-29 09:30:28.041,136.9854,942
2016-02-29 09:30:29.473,137.9798,3571
2016-02-29 09:30:37.091,139.0843,950
2016-02-29 09:30:39.740,137.7167,4557
2016-02-29 09:30:42.565,138.5709,2707
2016-02-29 09:30:46.721,137.6804,3266
2016-02-29 09:30:53.836,136.4174,3205
2016-02-29 09:31:00.734,135.6514,70
2016-02-29 09:31:04.438,135.6535,3308
2016-02-29 09:31:12.232,136.5344,3474
2016-02-29 09:31:18.065,135.5764,40
2016-02-29 09:31:23.494,136.9267,4613
2016-02-29 09:31:29.069,135.9747,3244
2016-02-29 09:31:29.979,136.9675,4800
2016-02-29 09:31:33.550,135.9232,611
2016-02-29 09:31:38.878,137.0245,1641
2016-02-29 09:31:39.523,138.0712,962
2016-02-29 09:31:49.421,139.1191,2224
2016-02-29 09:31:59.295,138.1342,2909
2016-02-29 09:32:08.937,138.1232,4244
2016-02-29 09:32:10.188,138.7407,4127
2016-02-29 09:32:13.523,138.8374,1031
2016-02-29 09:32:14.024,138.7966,486
2016-02-29 09:32:17.693,138.8036,871
2016-02-29 09:32:21.752,139.8456,196
2016-02-29 09:32:25.894,140.4207,1842
2016-02-29 09:32:28.754,140.8888,4633
2016-02-29 09:32:37.901,141.2517,4160
2016-02-29 09:32:45.490,142.2261,321
2016-02-29 09:32:49.184,141.4053,4649
2016-02-29 09:32:57.413,141.0132,65
2016-02-29 09:33:02.254,142.0484,878
2016-02-29 09:33:11.087,143.419,4636
2016-02-29 09:33:18.946,144.0882,3375
2016-02-29 09:33:24.691,144.1882,1042
2016-02-29 09:33:30.514,143.6664,1325
2016-02-29 09:33:36.330,143.4492,868
2016-02-29 09:33:37.075,143.1984,2837
2016-02-29 09:33:42.097,142.5949,179
2016-02-29 09:33:49.315,143.3971,313
2016-02-29 09:33:51.028,142.536,4268
2016-02-29 09:33:53.143,143.913,1824
2016-02-29 09:33:57.731,144.1759,4463
2016-02-29 09:34:04.416,143.3582,2221
2016-02-29 09:34:06.883,143.4252,4403
2016-02-29 09:34:14.004,143.0887,728
2016-02-29 09:34:19.354,143.167,1644
2016-02-29 09:34:25.489,142.8447,1857
2016-02-29 09:34:27.559,142.7933,3068
2016-02-29 09:34:31.676,142.8938,824
2016-02-29 09:34:35.914,141.9988,1550
2016-02-29 09:34:39.139,140.7933,2788
2016-02-29 09:34:47.394,140.452,2100
2016-02-29 09:34:49.433,140.375,4172
2016-02-29 09:34:52.185,139.9179,871
2016-02-29 09:34:58.205,139.6606,3188
2016-02-29 09:35:06.622,141.0411,947
2016-02-29 09:35:13.584,140.9894,4552
2016-02-29 09:35:19.392,140.3271,1322
2016-02-29 09:35:24.607,139.9683,3160
2016-02-29 09:35:33.243,138.6671,2913
2016-02-29 09:35:34.958,138.4227,2158
2016-02-29 09:35:37.051,137.7306,1501
2016-02-29 09:35:43.120,137.5317,990
2016-02-29 09:35:44.192,137.9587,4471
2016-02-29 09:35:49.835,136.6051,957
2016-02-29 09:35:59.801,136.4063,4182
2016-02-29 09:36:02.965,135.7678,3724
2016-02-29 09:36:11.075,134.4828,3940
2016-02-29 09:36:19.918,135.274,534
2016-02-29 09:36:25.241,135.4737,4178
2016-02-29 09:36:26.454,136.0975,4853
2016-02-29 09:36:30.488,137.3414,3800
2016-02-29 09:36:35.775,138.6512,3389
2016-02-29 09:36:36.804,138.1019,4761
2016-02-29 09:36:37.543,137.9661,463
2016-02-29 09:36:47.399,138.9431,1766
2016-02-29 09:36:56.424,139.1384,1969
2016-02-29 09:36:57.427,138.1494,2882
2016-02-29 09:37:01.724,137.1928,3399
2016-02-29 09:37:11.455,136.9709,542
2016-02-29 09:37:19.406,135.95,322
2016-02-29 09:37:26.688,135.2085,4402
2016-02-29 09:37:32.316,134.6091,3556
2016-02-29 09:37:33.151,133.6052,238
2016-02-29 09:37:34.389,134.6994,1593
2016-02-29 09:37:41.773,133.9196,1520
2016-02-29 09:37:45.493,133.7624,3555
2016-02-29 09:37:53.597,134.5853,4499
2016-02-29 09:38:02.180,135.677,757
2016-02-29 09:38:08.707,134.4338,3577
2016-02-29 09:38:11.761,135.038,4182
2016-02-29 09:38:14.637,134.4956,4421
2016-02-29 09:38:20.580,134.0611,2218
2016-02-29 09:38:24.641,134.7606,4643
2016-02-29 09:38:25.643,135.2368,1009
2016-02-29 09:38:26.970,135.275,2394
2016-02-29 09:38:30.439,134.3592,4651
2016-02-29 09:38:31.248,133.4982,4489
2016-02-29 09:38:39.865,134.5022,3056
2016-02-29 09:38:41.958,135.4305,2209
2016-02-29 09:38:47.931,136.072,1595
2016-02-29 09:38:54.338,136.1142,3722
2016-02-29 09:38:54.914,136.7075,3237
2016-02-29 09:39:03.398,135.3888,3496
2016-02-29 09:39:05.550,134.3298,3785
2016-02-29 09:39:05.812,133.6508,3332
2016-02-29 09:39:12.549,132.9666,3396
2016-02-29 09:39:15.472,133.7202,1457
